,16 17 17,17 17 17,18 17 17,
23300.1,-164.499,-99.4163,-71.4722,
23300.2,-225.075,-98.7193,-44.625,
23300.3,-282.029,-97.9595,-19.3861,
23300.4,-335.603,-97.1465,4.35153,
23300.5,-386.022,-96.2891,26.6874,
23300.6,-433.494,-95.3952,47.7143,
23300.7,-478.216,-94.4717,67.5187,
23300.8,-520.368,-93.5249,86.1811,
23300.9,-560.119,-92.5601,103.777,
23301,-597.628,-91.5824,120.375,
23301.1,-633.041,-90.5961,136.041,
23301.2,-666.494,-89.605,150.837,
23301.3,-698.115,-88.6124,164.818,
23301.4,-728.023,-87.6214,178.036,
23301.5,-756.328,-86.6343,190.542,
23301.6,-783.133,-85.6536,202.382,
23301.7,-808.534,-84.6811,213.596,
23301.8,-832.62,-83.7185,224.227,
23301.9,-855.476,-82.7672,234.31,
23302,-877.178,-81.8284,243.88,
23302.1,-897.8,-80.9031,252.97,
23302.2,-917.408,-79.9921,261.609,
23302.3,-936.065,-79.096,269.826,
23302.4,-953.832,-78.2156,277.647,
23302.5,-970.761,-77.351,285.096,
23302.6,-986.905,-76.5027,292.196,
23302.7,-1002.31,-75.6709,298.968,
23302.8,-1017.02,-74.8556,305.432,
23302.9,-1031.08,-74.057,311.607,
23303,-1044.53,-73.275,317.51,
23303.1,-1057.4,-72.5096,323.156,
23303.2,-1069.73,-71.7606,328.561,
23303.3,-1081.55,-71.0279,333.74,
23303.4,-1092.88,-70.3112,338.705,
23303.5,-1103.76,-69.6105,343.468,
23303.6,-1114.21,-68.9253,348.041,
23303.7,-1124.25,-68.2555,352.434,
23303.8,-1133.92,-67.6007,356.658,
23303.9,-1143.22,-66.9607,360.723,
23304,-1152.18,-66.3352,364.635,
23304.1,-1160.81,-65.7238,368.405,
23304.2,-1169.14,-65.1262,372.039,
23304.3,-1177.18,-64.542,375.545,
23304.4,-1184.94,-63.9711,378.93,
23304.5,-1192.45,-63.4129,382.199,
23304.6,-1199.7,-62.8672,385.359,
23304.7,-1206.72,-62.3337,388.414,
23304.8,-1213.52,-61.812,391.371,
23304.9,-1220.1,-61.3018,394.235,
23305,-1226.48,-60.8029,397.009,
23305.1,-1232.67,-60.3148,399.697,
23305.2,-1238.68,-59.8373,402.305,
23305.3,-1244.5,-59.3701,404.835,
23305.4,-1250.16,-58.913,407.292,
23305.5,-1255.66,-58.4655,409.678,
23305.6,-1261.01,-58.0275,411.997,
23305.7,-1266.21,-57.5987,414.251,
23305.8,-1271.27,-57.1788,416.444,
23305.9,-1276.2,-56.7676,418.577,
23306,-1280.99,-56.3648,420.654,
23306.1,-1285.67,-55.9702,422.677,
23306.2,-1290.22,-55.5835,424.647,
23306.3,-1294.66,-55.2046,426.568,
23306.4,-1298.99,-54.8332,428.44,
23306.5,-1303.21,-54.4691,430.266,
23306.6,-1307.33,-54.1121,432.047,
23306.7,-1311.36,-53.7621,433.786,
23306.8,-1315.29,-53.4187,435.483,
23306.9,-1319.13,-53.0819,437.14,
23307,-1322.88,-52.7515,438.758,
23307.1,-1326.54,-52.4272,440.34,
23307.2,-1330.12,-52.109,441.885,
23307.3,-1333.62,-51.7967,443.395,
23307.4,-1337.05,-51.4901,444.872,
23307.5,-1340.4,-51.1891,446.316,
23307.6,-1343.68,-50.8935,447.729,
23307.7,-1346.89,-50.6032,449.111,
23307.8,-1350.03,-50.3181,450.463,
23307.9,-1353.1,-50.038,451.787,
23308,-1356.11,-49.7629,453.083,
23308.1,-1359.06,-49.4925,454.351,
23308.2,-1361.95,-49.2269,455.593,
23308.3,-1364.77,-48.9658,456.81,
23308.4,-1367.54,-48.7091,458.001,
23308.5,-1370.26,-48.4569,459.168,
23308.6,-1372.92,-48.2089,460.312,
23308.7,-1375.53,-47.9651,461.432,
23308.8,-1378.08,-47.7253,462.53,
23308.9,-1380.59,-47.4896,463.607,
23309,-1383.05,-47.2577,464.662,
23309.1,-1385.45,-47.0297,465.696,
23309.2,-1387.82,-46.8054,466.71,
23309.3,-1390.13,-46.5847,467.704,
23309.4,-1392.41,-46.3676,468.679,
23309.5,-1394.63,-46.1541,469.635,
23309.6,-1396.82,-45.944,470.572,
23309.7,-1398.97,-45.7372,471.492,
23309.8,-1401.07,-45.5338,472.394,
23309.9,-1403.14,-45.3336,473.279,
23310,-1405.16,-45.1365,474.147,
23310.1,-1407.15,-44.9426,474.998,
23310.2,-1409.1,-44.7517,475.834,
23310.3,-1411.02,-44.5638,476.654,
23310.4,-1412.9,-44.3789,477.458,
23310.5,-1414.74,-44.1968,478.248,
23310.6,-1416.55,-44.0176,479.022,
23310.7,-1418.33,-43.8412,479.783,
23310.8,-1420.07,-43.6675,480.529,
23310.9,-1421.79,-43.4964,481.261,
23311,-1423.47,-43.328,481.98,
23311.1,-1425.12,-43.1622,482.685,
23311.2,-1426.74,-42.9989,483.378,
23311.3,-1428.33,-42.8382,484.057,
23311.4,-1429.89,-42.6799,484.725,
23311.5,-1431.43,-42.5239,485.38,
23311.6,-1432.93,-42.3704,486.022,
23311.7,-1434.41,-42.2192,486.654,
23311.8,-1435.86,-42.0703,487.273,
23311.9,-1437.29,-41.9237,487.882,
23312,-1438.69,-41.7793,488.479,
23312.1,-1440.07,-41.637,489.065,
23312.2,-1441.42,-41.4969,489.641,
23312.3,-1442.74,-41.3589,490.206,
23312.4,-1444.05,-41.223,490.761,
23312.5,-1445.33,-41.0892,491.306,
23312.6,-1446.58,-40.9573,491.841,
23312.7,-1447.82,-40.8274,492.367,
23312.8,-1449.03,-40.6995,492.883,
23312.9,-1450.22,-40.5735,493.389,
23313,-1451.39,-40.4494,493.887,
23313.1,-1452.54,-40.3271,494.375,
23313.2,-1453.67,-40.2067,494.855,
23313.3,-1454.77,-40.0881,495.326,
23313.4,-1455.86,-39.9712,495.788,
23313.5,-1456.93,-39.8561,496.242,
23313.6,-1457.98,-39.7428,496.688,
23313.7,-1459.01,-39.6311,497.126,
23313.8,-1460.02,-39.521,497.556,
23313.9,-1461.02,-39.4127,497.979,
23314,-1462,-39.3059,498.393,
23314.1,-1462.96,-39.2007,498.801,
23314.2,-1463.9,-39.0971,499.201,
23314.3,-1464.83,-38.9951,499.593,
23314.4,-1465.74,-38.8945,499.979,
23314.5,-1466.63,-38.7955,500.358,
23314.6,-1467.51,-38.6979,500.73,
23314.7,-1468.37,-38.6018,501.095,
23314.8,-1469.22,-38.5071,501.454,
23314.9,-1470.05,-38.4139,501.807,
23315,-1470.87,-38.322,502.153,
23315.1,-1471.67,-38.2315,502.492,
23315.2,-1472.46,-38.1423,502.826,
23315.3,-1473.23,-38.0545,503.154,
23315.4,-1474,-37.968,503.476,
23315.5,-1474.74,-37.8828,503.792,
23315.6,-1475.48,-37.7988,504.102,
23315.7,-1476.2,-37.7161,504.407,
23315.8,-1476.91,-37.6346,504.707,
23315.9,-1477.61,-37.5544,505.001,
23316,-1478.29,-37.4753,505.29,
23316.1,-1478.96,-37.3975,505.574,
23316.2,-1479.62,-37.3207,505.852,
23316.3,-1480.27,-37.2452,506.126,
23316.4,-1480.91,-37.1707,506.394,
23316.5,-1481.53,-37.0974,506.658,
23316.6,-1482.15,-37.0252,506.918,
23316.7,-1482.75,-36.954,507.172,
23316.8,-1483.35,-36.8839,507.422,
23316.9,-1483.93,-36.8149,507.668,
23317,-1484.5,-36.7469,507.909,
23317.1,-1485.07,-36.6799,508.146,
23317.2,-1485.62,-36.6139,508.378,
23317.3,-1486.16,-36.5489,508.607,
23317.4,-1486.7,-36.4849,508.831,
23317.5,-1487.22,-36.4218,509.051,
23317.6,-1487.73,-36.3597,509.268,
23317.7,-1488.24,-36.2985,509.48,
23317.8,-1488.74,-36.2382,509.689,
23317.9,-1489.23,-36.1789,509.894,
23318,-1489.71,-36.1204,510.095,
23318.1,-1490.18,-36.0628,510.293,
23318.2,-1490.64,-36.006,510.487,
23318.3,-1491.09,-35.9502,510.678,
23318.4,-1491.54,-35.8951,510.865,
23318.5,-1491.98,-35.8409,511.049,
23318.6,-1492.41,-35.7875,511.23,
23318.7,-1492.83,-35.7349,511.407,
23318.8,-1493.25,-35.6831,511.582,
23318.9,-1493.66,-35.6321,511.753,
23319,-1494.06,-35.5818,511.921,
23319.1,-1494.46,-35.5323,512.086,
23319.2,-1494.84,-35.4835,512.248,
23319.3,-1495.22,-35.4355,512.407,
23319.4,-1495.6,-35.3882,512.564,
23319.5,-1495.97,-35.3416,512.717,
23319.6,-1496.33,-35.2957,512.868,
23319.7,-1496.68,-35.2505,513.017,
23319.8,-1497.03,-35.206,513.162,
23319.9,-1497.37,-35.1622,513.305,
23320,-1497.71,-35.119,513.445,
23320.1,-1498.04,-35.0765,513.583,
23320.2,-1498.36,-35.0346,513.719,
23320.3,-1498.68,-34.9934,513.852,
23320.4,-1499,-34.9527,513.982,
23320.5,-1499.3,-34.9127,514.11,
23320.6,-1499.61,-34.8733,514.236,
23320.7,-1499.9,-34.8345,514.36,
23320.8,-1500.19,-34.7963,514.482,
23320.9,-1500.48,-34.7587,514.601,
23321,-1500.76,-34.7216,514.718,
23321.1,-1501.04,-34.6851,514.833,
23321.2,-1501.31,-34.6491,514.946,
23321.3,-1501.58,-34.6137,515.057,
23321.4,-1501.84,-34.5788,515.166,
23321.5,-1502.1,-34.5445,515.273,
23321.6,-1502.35,-34.5107,515.378,
23321.7,-1502.6,-34.4774,515.482,
23321.8,-1502.84,-34.4446,515.583,
23321.9,-1503.08,-34.4123,515.683,
23322,-1503.32,-34.3805,515.781,
23322.1,-1503.55,-34.3491,515.877,
