,16 17 17,16 18 17,17 17 17,17 18 17,
9900.5,516.95,-97.2686,-442.667,-97.2686,
9901,953.722,-104.559,-691.365,-89.7153,
9901.5,1268.96,-116.51,-875.407,-80.4391,
9902,1501.79,-129.936,-1014.39,-70.8193,
9902.5,1678.19,-143.232,-1121.71,-61.5575,
9903,1815.41,-155.666,-1206.5,-52.9686,
9903.5,1925,-166.975,-1275.07,-45.1548,
9904,2014.71,-177.131,-1331.74,-38.1085,
9904.5,2089.81,-186.214,-1379.51,-31.7711,
9905,2153.89,-194.343,-1420.49,-26.0653,
9905.5,2209.45,-201.645,-1456.15,-20.9121,
9906,2258.24,-208.234,-1487.57,-16.2386,
9906.5,2301.52,-214.213,-1515.51,-11.9814,
9907,2340.21,-219.663,-1540.54,-8.08669,
9907.5,2375,-224.654,-1563.09,-4.5098,
9908,2406.41,-229.243,-1583.5,-1.21374,
9908.5,2434.87,-233.474,-1602.04,1.83204,
9909,2460.73,-237.385,-1618.91,4.65292,
9909.5,2484.25,-241.008,-1634.3,7.27012,
9910,2505.67,-244.368,-1648.35,9.70164,
9910.5,2525.22,-247.489,-1661.19,11.9629,
9911,2543.05,-250.388,-1672.94,14.0674,
9911.5,2559.33,-253.084,-1683.7,16.0269,
9912,2574.2,-255.591,-1693.55,17.8519,
9912.5,2587.79,-257.923,-1702.57,19.552,
9913,2600.2,-260.092,-1710.83,21.1358,
9913.5,2611.55,-262.11,-1718.41,22.6113,
9914,2621.92,-263.986,-1725.35,23.9856,
9914.5,2631.4,-265.731,-1731.71,25.2656,
9915,2640.07,-267.354,-1737.54,26.4576,
9915.5,2648,-268.862,-1742.88,27.5674,
9916,2655.24,-270.264,-1747.78,28.6005,
9916.5,2661.87,-271.566,-1752.27,29.5619,
9917,2667.93,-272.776,-1756.39,30.4565,
9917.5,2673.47,-273.9,-1760.16,31.2886,
9918,2678.53,-274.943,-1763.62,32.0626,
9918.5,2683.16,-275.912,-1766.79,32.7823,
9919,2687.4,-276.811,-1769.69,33.4513,
9919.5,2691.27,-277.645,-1772.36,34.0732,
9920,2694.82,-278.419,-1774.8,34.6511,
9920.5,2698.06,-279.137,-1777.04,35.188,
9921,2701.02,-279.803,-1779.09,35.6867,
9921.5,2703.73,-280.421,-1780.98,36.1498,
9922,2706.21,-280.993,-1782.7,36.5799,
9922.5,2708.47,-281.524,-1784.28,36.9791,
9923,2710.55,-282.015,-1785.73,37.3497,
9923.5,2712.44,-282.471,-1787.06,37.6936,
9924,2714.18,-282.893,-1788.28,38.0127,
9924.5,2715.76,-283.284,-1789.4,38.3088,
9925,2717.21,-283.646,-1790.42,38.5834,
9925.5,2718.54,-283.981,-1791.36,38.838,
9926,2719.75,-284.292,-1792.22,39.0742,
9926.5,2720.86,-284.579,-1793.01,39.2931,
9927,2721.88,-284.845,-1793.73,39.4961,
9927.5,2722.81,-285.091,-1794.39,39.6842,
9928,2723.66,-285.319,-1795,39.8585,
