,16 17 17,17 17 17,18 17 17,
0.1,-99.6897,-99.3795,-99.6897,
0.2,-99.4001,-98.7983,-99.4001,
0.3,-99.1296,-98.2536,-99.1296,
0.4,-98.8768,-97.743,-98.8768,
0.5,-98.6405,-97.264,-98.6405,
0.6,-98.4196,-96.8145,-98.4196,
0.7,-98.2128,-96.3925,-98.2128,
0.8,-98.0192,-95.996,-98.0192,
0.9,-97.8378,-95.6233,-97.8378,
1,-97.6679,-95.2727,-97.6679,
1.1,-97.5085,-94.9428,-97.5085,
1.2,-97.3589,-94.6321,-97.3589,
1.3,-97.2185,-94.3394,-97.2185,
1.4,-97.0866,-94.0634,-97.0866,
1.5,-96.9625,-93.803,-96.9625,
1.6,-96.8458,-93.5571,-96.8458,
1.7,-96.736,-93.3248,-96.736,
1.8,-96.6325,-93.1052,-96.6325,
1.9,-96.5349,-92.8974,-96.5349,
2,-96.4428,-92.7007,-96.4428,
2.1,-96.3559,-92.5143,-96.3559,
2.2,-96.2737,-92.3375,-96.2737,
2.3,-96.1961,-92.1698,-96.1961,
2.4,-96.1225,-92.0105,-96.1225,
2.5,-96.0529,-91.8591,-96.0529,
2.6,-95.9869,-91.7151,-95.9869,
2.7,-95.9242,-91.578,-95.9242,
2.8,-95.8648,-91.4475,-95.8648,
2.9,-95.8082,-91.3229,-95.8082,
3,-95.7545,-91.2041,-95.7545,
3.1,-95.7033,-91.0907,-95.7033,
3.2,-95.6545,-90.9823,-95.6545,
3.3,-95.608,-90.8786,-95.608,
3.4,-95.5636,-90.7793,-95.5636,
3.5,-95.5212,-90.6842,-95.5212,
3.6,-95.4807,-90.593,-95.4807,
3.7,-95.4419,-90.5056,-95.4419,
3.8,-95.4047,-90.4216,-95.4047,
3.9,-95.3691,-90.3408,-95.3691,
4,-95.335,-90.2632,-95.335,
4.1,-95.3022,-90.1885,-95.3022,
4.2,-95.2707,-90.1166,-95.2707,
4.3,-95.2404,-90.0472,-95.2404,
4.4,-95.2112,-89.9804,-95.2112,
4.5,-95.1832,-89.9158,-95.1832,
4.6,-95.1561,-89.8535,-95.1561,
4.7,-95.13,-89.7933,-95.13,
4.8,-95.1048,-89.7351,-95.1048,
4.9,-95.0805,-89.6787,-95.0805,
5,-95.057,-89.6242,-95.057,
5.1,-95.0343,-89.5713,-95.0343,
5.2,-95.0123,-89.5201,-95.0123,
5.3,-94.991,-89.4704,-94.991,
5.4,-94.9704,-89.4222,-94.9704,
5.5,-94.9504,-89.3754,-94.9504,
5.6,-94.931,-89.33,-94.931,
5.7,-94.9122,-89.2858,-94.9122,
5.8,-94.8939,-89.2429,-94.8939,
5.9,-94.8762,-89.2011,-94.8762,
6,-94.8589,-89.1604,-94.8589,
6.1,-94.8421,-89.1209,-94.8421,
6.2,-94.8258,-89.0823,-94.8258,
6.3,-94.8099,-89.0448,-94.8099,
6.4,-94.7945,-89.0082,-94.7945,
6.5,-94.7794,-88.9725,-94.7794,
6.6,-94.7648,-88.9377,-94.7648,
6.7,-94.7505,-88.9037,-94.7505,
6.8,-94.7365,-88.8706,-94.7365,
6.9,-94.723,-88.8382,-94.723,
7,-94.7097,-88.8066,-94.7097,
7.1,-94.6968,-88.7758,-94.6968,
7.2,-94.6841,-88.7456,-94.6841,
7.3,-94.6718,-88.7161,-94.6718,
7.4,-94.6598,-88.6873,-94.6598,
7.5,-94.648,-88.6592,-94.648,
7.6,-94.6365,-88.6316,-94.6365,
7.7,-94.6253,-88.6047,-94.6253,
7.8,-94.6143,-88.5783,-94.6143,
7.9,-94.6036,-88.5525,-94.6036,
8,-94.5931,-88.5273,-94.5931,
8.1,-94.5828,-88.5026,-94.5828,
8.2,-94.5727,-88.4784,-94.5727,
8.3,-94.5629,-88.4547,-94.5629,
8.4,-94.5533,-88.4315,-94.5533,
8.5,-94.5439,-88.4088,-94.5439,
8.6,-94.5347,-88.3865,-94.5347,
8.7,-94.5257,-88.3647,-94.5257,
8.8,-94.5168,-88.3434,-94.5168,
8.9,-94.5082,-88.3224,-94.5082,
9,-94.4997,-88.3019,-94.4997,
9.1,-94.4914,-88.2818,-94.4914,
9.2,-94.4833,-88.2621,-94.4833,
9.3,-94.4754,-88.2427,-94.4754,
9.4,-94.4676,-88.2238,-94.4676,
9.5,-94.4599,-88.2052,-94.4599,
9.6,-94.4525,-88.187,-94.4525,
9.7,-94.4451,-88.1691,-94.4451,
9.8,-94.438,-88.1516,-94.438,
9.9,-94.4309,-88.1344,-94.4309,
10,-94.424,-88.1176,-94.424,
10.1,-94.4173,-88.101,-94.4173,
10.2,-94.4106,-88.0848,-94.4106,
10.3,-94.4041,-88.0689,-94.4041,
10.4,-94.3978,-88.0533,-94.3978,
10.5,-94.3915,-88.038,-94.3915,
10.6,-94.3854,-88.023,-94.3854,
10.7,-94.3794,-88.0082,-94.3794,
10.8,-94.3735,-87.9937,-94.3735,
10.9,-94.3678,-87.9796,-94.3678,
11,-94.3621,-87.9656,-94.3621,
11.1,-94.3566,-87.952,-94.3566,
11.2,-94.3511,-87.9385,-94.3511,
11.3,-94.3458,-87.9254,-94.3458,
11.4,-94.3406,-87.9125,-94.3406,
11.5,-94.3355,-87.8998,-94.3355,
11.6,-94.3304,-87.8873,-94.3304,
11.7,-94.3255,-87.8751,-94.3255,
11.8,-94.3207,-87.8631,-94.3207,
11.9,-94.3159,-87.8513,-94.3159,
12,-94.3113,-87.8398,-94.3113,
12.1,-94.3067,-87.8285,-94.3067,
12.2,-94.3023,-87.8173,-94.3023,
12.3,-94.2979,-87.8064,-94.2979,
12.4,-94.2936,-87.7957,-94.2936,
12.5,-94.2894,-87.7851,-94.2894,
12.6,-94.2852,-87.7748,-94.2852,
12.7,-94.2812,-87.7646,-94.2812,
12.8,-94.2772,-87.7547,-94.2772,
12.9,-94.2733,-87.7449,-94.2733,
13,-94.2695,-87.7353,-94.2695,
13.1,-94.2657,-87.7259,-94.2657,
13.2,-94.262,-87.7166,-94.262,
13.3,-94.2584,-87.7075,-94.2584,
13.4,-94.2549,-87.6986,-94.2549,
13.5,-94.2514,-87.6899,-94.2514,
13.6,-94.248,-87.6813,-94.248,
13.7,-94.2446,-87.6728,-94.2446,
13.8,-94.2414,-87.6645,-94.2414,
13.9,-94.2381,-87.6564,-94.2381,
14,-94.235,-87.6484,-94.235,
14.1,-94.2319,-87.6405,-94.2319,
14.2,-94.2289,-87.6328,-94.2289,
14.3,-94.2259,-87.6253,-94.2259,
14.4,-94.2229,-87.6179,-94.2229,
14.5,-94.2201,-87.6106,-94.2201,
14.6,-94.2173,-87.6034,-94.2173,
14.7,-94.2145,-87.5964,-94.2145,
14.8,-94.2118,-87.5895,-94.2118,
14.9,-94.2092,-87.5827,-94.2092,
15,-94.2066,-87.576,-94.2066,
15.1,-94.204,-87.5695,-94.204,
15.2,-94.2015,-87.5631,-94.2015,
15.3,-94.199,-87.5568,-94.199,
15.4,-94.1966,-87.5506,-94.1966,
15.5,-94.1943,-87.5445,-94.1943,
15.6,-94.1919,-87.5386,-94.1919,
15.7,-94.1897,-87.5327,-94.1897,
15.8,-94.1874,-87.527,-94.1874,
15.9,-94.1852,-87.5213,-94.1852,
16,-94.1831,-87.5158,-94.1831,
16.1,-94.181,-87.5103,-94.181,
16.2,-94.1789,-87.505,-94.1789,
16.3,-94.1769,-87.4997,-94.1769,
16.4,-94.1749,-87.4946,-94.1749,
16.5,-94.173,-87.4895,-94.173,
16.6,-94.1711,-87.4846,-94.1711,
16.7,-94.1692,-87.4797,-94.1692,
16.8,-94.1673,-87.4749,-94.1673,
16.9,-94.1655,-87.4702,-94.1655,
17,-94.1638,-87.4656,-94.1638,
17.1,-94.162,-87.461,-94.162,
17.2,-94.1603,-87.4566,-94.1603,
17.3,-94.1586,-87.4522,-94.1586,
17.4,-94.157,-87.4479,-94.157,
17.5,-94.1554,-87.4437,-94.1554,
17.6,-94.1538,-87.4395,-94.1538,
17.7,-94.1523,-87.4355,-94.1523,
17.8,-94.1508,-87.4315,-94.1508,
17.9,-94.1493,-87.4276,-94.1493,
18,-94.1478,-87.4237,-94.1478,
18.1,-94.1464,-87.4199,-94.1464,
18.2,-94.145,-87.4162,-94.145,
18.3,-94.1436,-87.4126,-94.1436,
18.4,-94.1422,-87.409,-94.1422,
18.5,-94.1409,-87.4055,-94.1409,
